[08/01/2026 20:16:44.496 -03] [tenantId=] [---- traceId -----              ] [background-preinit               ] [INFO ] [org.hibernate.validator.internal.util.Version                         ] HV000001: Hibernate Validator 8.0.2.Final 
[08/01/2026 20:19:45.220 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-6             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/receitas/por-mes/2026 
[08/01/2026 20:19:45.224 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/compras/ultimas 
[08/01/2026 20:19:45.224 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/salarios-previstos/por-ano/2026 
[08/01/2026 20:19:45.226 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[08/01/2026 20:19:45.226 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/salarios-previstos/por-ano/2026 
[08/01/2026 20:19:45.236 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[08/01/2026 20:19:45.239 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/compras/ultimas 
[08/01/2026 20:19:45.239 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-8             ] [INFO ] [com.example.orcamento.controller.DespesaController                    ] Requisição GET em /api/v1/despesas/por-mes/{ano}, listarPorMes 
[08/01/2026 20:19:45.239 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.controller.LancamentoCartaoController           ] Requisição GET em /api/v1/lancamentos-cartao/faturas-ano, ano: 2026 
[08/01/2026 20:19:45.284 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [INFO ] [com.example.orcamento.controller.CartaoCreditoController              ] Requisição GET em /api/v1/cartoes-credito, listarCartoes 
[08/01/2026 20:19:45.285 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-6             ] [INFO ] [com.example.orcamento.controller.ReceitaController                    ] Requisição GET em: /api/v1/receitas/por-mes/{ano} 
[08/01/2026 20:19:45.288 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [INFO ] [com.example.orcamento.controller.CompraController                     ] Requisição GET em /api/v1/compras/ultimas, page: 0, size: 100, descricao: null, cartaoId: null, subcategoriaId: null 
[08/01/2026 20:19:45.293 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [INFO ] [com.example.orcamento.service.CompraService                           ] [DEBUG] Buscando compras por filtro para tenantId=06660607625 page=0 size=100 descricao=null cartaoId=null subcategoriaId=null 
[08/01/2026 20:19:45.315 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/contas-corrente 
[08/01/2026 20:19:45.315 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[08/01/2026 20:19:45.317 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/contas-corrente 
[08/01/2026 20:19:45.342 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/despesas/filtrar-dinamico 
[08/01/2026 20:19:45.345 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[08/01/2026 20:19:45.345 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/despesas/filtrar-dinamico 
[08/01/2026 20:19:45.357 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-6             ] [INFO ] [com.example.orcamento.controller.ReceitaController                    ] Retorno: {} 
